NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Ahvenlampi Camping;Ahvenlammentie 62;43100;Saarijärvi;Saarijärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2612802-9
Aikalisä Sport & Music Bar;Ankkarinraitti  2;33700;Tampere;Tampere;29.12.2011;Anniskelu A, kaikki alkoholijuomat;0722541-3
Ailasto;Luovontie 798;90480;Hailuoto;Hailuoto;12.06.2021;Ann.lupa sis. vähittäismyynnin;3204394-5
Aino Areena;Maamiehenkatu 14;04400;Järvenpää;Järvenpää;01.03.2023;Anniskelu A, kaikki alkoholijuomat;3309182-6
Ainoa Winery;Rekolanpolku 65;15700;Lahti;Lahti;18.06.2019;Tilaviinin vähittäismyynti;2587625-2
Ainoa Winery;Rekolanpolku 65;15700;Lahti;Lahti;19.06.2019;Anniskelu A, kaikki alkoholijuomat;2587625-2
Airhotel/Airmotel;Lentokentäntie 5;03100;Nummela;Vihti;19.08.2008;Anniskelu A, kaikki alkoholijuomat;2195722-3
Airikkala/ Kauppa;Airikkalantie 48;01860;Perttula;Nurmijärvi;11.11.2019;Vähittäismyyntilupa/max. 5.5 %;2244459-3
Airisto Marina;Airistontie 700;21600;Parainen;PARAINEN;01.04.2021;Ann.lupa sis. vähittäismyynnin;3190535-5
Airisto Strandhamn, Meriasema;Västermälö;21600;Parainen;PARAINEN;30.07.2001;Vähittäismyyntilupa/max. 5.5 %;0627606-7
Airport Cafe Ivalo;Lentokentäntie 290;99800;Ivalo;Inari;02.12.2020;Ann.lupa sis. vähittäismyynnin;2199747-9
Airport Duty Free shops;Lentoasemantie 1;01531;Vantaa;Vantaa;10.03.2022;Vähittäismyyntilupa/max. 5.5 %;2588583-7
Airport Hotel Oulu;Vihiluoto 10;90440;Kempele;Kempele;23.07.1999;Anniskelu A, kaikki alkoholijuomat;1509304-3
Airport Hotel Pilot;Veromäentie 1;01510;Vantaa;Vantaa;16.01.2017;Anniskelu A, kaikki alkoholijuomat;1495017-0
Airport Hotel Skyline;Elannontie 9;01510;Vantaa;Vantaa;01.01.1993;Anniskelu A, kaikki alkoholijuomat;0998589-7
Aitiopaikka/Virastotalo;Itsenäisyydenaukio 2;20800;Turku;Turku;28.03.2013;Anniskelu A, kaikki alkoholijuomat;1896229-1
Aito Grilli;Pernontie 27;21260;Raisio;Raisio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2616838-9
Aito Grilli;Pernontie 27;21260;Raisio;Raisio;19.05.2014;Vähittäismyyntilupa/max. 5.5 %;2616838-9
Aitolahden TB-Huoltamon kahvio;Kaitavedentie 95;33680;Tampere;Tampere;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Aitolahden Tb-Huolto;Kaitavedentie 95;33680;Tampere;Tampere;22.04.1993;Vähittäismyyntilupa/max. 5.5 %;N/A
Aitoleipä Keskustori;Keskustori 7;33100;Tampere;Tampere;12.05.2021;Anniskelu A, kaikki alkoholijuomat;2048211-5
Aitoleipä Pyynikki;Pyynikintie 25;33230;Tampere;Tampere;04.11.2022;Määräaikainen A, kaikki alkoholijuomat;2048211-5
Aitoon Vapaaehtoinen Palokunta Ry;Honkalantie 4;36720;Aitoo;Pälkäne;27.03.2019;Anniskelulupa ilman toimipaikkaa;1450745-1
Ajakan Taika;Tikkuniementie 2;93900;Kuusamo;Kuusamo;01.12.2022;Anniskelu A, kaikki alkoholijuomat;3159968-5
Ajito&Sushi Ravintola;Kaivokatu 7;13100;Hämeenlinna;Hämeenlinna;30.12.2021;Anniskelu A, kaikki alkoholijuomat;2828191-6
Akaa Areena Lempi;Turuntie 1 B;37830;Akaa;Akaa;30.09.2022;Määräaikainen A, kaikki alkoholijuomat;2406306-5
Akaan Keilahalli;Hallamäentie 3;37800;Akaa;Akaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2770974-9
Aki Järvelä Oy;Puumalantie 166;69600;Kaustinen;Kaustinen;01.08.2019;Anniskelulupa ilman toimipaikkaa;1949282-6
Akita Sushi Ravintola;Albertinkatu 38;00180;Helsinki;Helsinki;30.05.2022;Anniskelu A, kaikki alkoholijuomat;3267041-2
Akix Kaffe ja Piffi Ravintola;Mäntynummentie 46;08500;Lohja;Lohja;12.05.2015;Anniskelu A, kaikki alkoholijuomat;2559077-2
Akix Kaffe ja Piffi Ravintola;Mäntynummentie 46;08500;Lohja;Lohja;12.05.2015;Vähittäismyyntilupa/max. 5.5 %;2559077-2
Akselin Tupa;Uusi Littoistentie 48;20660;Littoinen;Kaarina;01.12.2019;Anniskelu A, kaikki alkoholijuomat;3095108-5
Akselinpoika;Olavinkatu 33;57130;Savonlinna;Savonlinna;16.02.1976;Vähittäismyyntilupa/max. 5.5 %;N/A
Alahovin Viinikartano;Alahovintie 236;71130;Kortejoki;Kuopio;16.05.1995;Anniskelu A, kaikki alkoholijuomat;0171079-2
Alahovin Viinitila Oy;Alahovintie 236;71130;Kortejoki;Kuopio;20.06.1995;Tilaviinin vähittäismyynti;0171079-2
Alakylän Toivola;Seurantie 14;90910;Kontio;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0603057-7
Alan Pizzeria Pub;Porrastie 1;40640;Jyväskylä;Jyväskylä;13.06.2007;Anniskelu A, kaikki alkoholijuomat;N/A
Alan kauppaisa;Porrastie 1;40640;Jyväskylä;Jyväskylä;22.11.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
Alans Café;Raatihuoneentori 4;10900;Hanko;Hanko;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Alandica Kultur- och kongresshus;Strandgatan 31;22100;Mariehamn;Maarianhamina;11.02.2009;Anniskelu A, kaikki alkoholijuomat;0655776-6
Alanko Old Cowhouse;Kourilehdontie 438;95520;Tornio;Tornio;15.04.2021;Anniskelu A, kaikki alkoholijuomat;3130416-2
Alapitkän Nuorisoseuran Talo;Alapitkä;71910;Alapitkä;Lapinlahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0172119-2
Alastaro Golf;Golfkentäntie 195;32560;Virttaa;Loimaa;21.05.2020;Ann.lupa sis. vähittäismyynnin;1969907-7
Alastaron kyläyhdistys ry;Pakilantie 7;32440;Alastaro;Loimaa;15.04.2020;Anniskelulupa ilman toimipaikkaa;2386748-3
Alavus Bowling;Asematie 5 A;63400;Alavus As;Alavus;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2732907-6
Albatross Pub Ravintola;Raatihuoneenkatu 43;64260;Kaskinen;Kaskinen;03.03.2023;Anniskelu A, kaikki alkoholijuomat;2936044-8
Albina & Alexis;Aleksis Kiven katu 23;00510;Helsinki;Helsinki;09.03.2021;Ann.lupa sis. vähittäismyynnin;3141151-5
Albys Artesan Pizza;Vuollemutka 9;01600;Vantaa;Vantaa;30.03.2023;Ann.lupa sis. vähittäismyynnin;3316215-3
Alcatraz;Eerikinkatu 3;00100;Helsinki;Helsinki;21.05.1993;Anniskelu A, kaikki alkoholijuomat;1025227-9
Ale Pub Hällän Kellari;Hämeenkatu 25;33200;Tampere;Tampere;06.04.2018;Ann.lupa sis. vähittäismyynnin;1018746-2
Ale Pub Mexas;Härkitie 8;37100;Nokia;Nokia;26.02.2014;Anniskelu A, kaikki alkoholijuomat;2438801-1
Ale Pupi;Kauppakatu 16;70100;Kuopio;Kuopio;01.09.2011;Anniskelu A, kaikki alkoholijuomat;2393622-3
Aleksanterin Teatteri;Bulevardi 23-27;00180;Helsinki;Helsinki;23.10.2015;Anniskelu A, kaikki alkoholijuomat;1575649-2
Aleksanterin Tuoppi;Pyynikintori 6;33230;Tampere;Tampere;01.07.2019;Anniskelu A, kaikki alkoholijuomat;2916903-7
Alepa 0222-042 Porvoonkatu;Porvoonkatu 22;00510;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-045 Hesperiankatu;Pohjoinen Hesperiankatu 5;00260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-046 Kuulakuja;Kuulakuja 5;01280;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-047 Pohjolankatu;Pohjolankatu 43;00610;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-048 Vallila;Mäkelänkatu 11;00550;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-049 Viikki;Norkkokuja 3;00710;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-051 Kontulankaari;Kontulankaari 8;00940;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-052 Koskela;Antti Korpintie 3;00600;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-054 Roihuvuori;Roihuvuorentie 26;00820;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-055 Rajatorppa;Nuijatie 12;01650;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-057 Sturenkatu;Sturenkatu 27;00510;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-057 Tapanila;Liiketie 4;00730;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-059 Kirstintie;Kirstintie 19;02760;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-061 Kallio;Castreninkatu 9-11;00530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-064 Pasilanraitio;Esterinportti 1;00240;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-066 Sturenkatu 40;Sturenkatu 40;00550;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-067 Vartiokylä;Vartiokyläntie 3;00950;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-070 Munkkiniemi;Munkkiniemen Puistotie 20;00330;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-075 Karakallio;Karakallionkatu 10;02620;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 144 Soukka;Soukantie 4;02360;Espoo;Espoo;26.08.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ahjo;Kerananpolku 1;04220;Kerava;Kerava;04.10.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Aurinkolahti;Aurinkolahden Puistotie 2;00990;Helsinki;Helsinki;03.09.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Backas;Ylästöntie 28;01510;Vantaa;Vantaa;01.12.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Caloniuksenkatu;Runeberginkatu 28;00100;Helsinki;Helsinki;13.12.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Eliel;Elielinaukio 5;00100;Helsinki;Helsinki;22.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Erätori;Kettutie 2;00800;Helsinki;Helsinki;25.10.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Etelä-Haaga;Kauppalantie 40;00320;Helsinki;Helsinki;02.04.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Falkulla;Jäkälätie 12;00730;Helsinki;Helsinki;15.02.2023;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Forum;Mannerheimintie 20;00100;Helsinki;Helsinki;17.04.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Haikala;Ojaniituntie 1;01820;Klaukkala;Nurmijärvi;02.04.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Havukoski;Eteläinen Rastitie 5;01360;Vantaa;Vantaa;21.10.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Helsinginkatu;Helsinginkatu 18;00530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Herttoniemi;Hiihtomäentie 14;00810;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hiekkaharju;Leinikkitie 22;01350;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hyvinkää;Uudenmaankatu 70;05830;Hyvinkää;Hyvinkää;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hämeentie;Hämeentie 25;00500;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ilola;Koivukylänväylä 66;01390;Vantaa;Vantaa;03.12.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Iso-Roobertinkatu;Iso Roobertinkatu 21-25;00120;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jamppa;Pihkakatu 4;04440;Järvenpää;Järvenpää;17.11.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jollas;Jollaksentie 33;00850;Helsinki;Helsinki;17.03.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Joosepinkuja;Joosepinkuja 1;02230;Espoo;Espoo;14.04.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jousenpuisto;Jousenpuistonkatu 2;02200;Espoo;Espoo;07.03.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jungmann;Kruunuvuorenkatu 4;00160;Helsinki;Helsinki;05.04.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jupperi;Jupperintulli 2;02730;Espoo;Helsinki;13.01.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jätkäsaari;Välimerenkatu 6;00220;Helsinki;Helsinki;24.08.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kalasatama;Leonkatu 21;00540;Helsinki;Helsinki;08.12.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kaleva;Kalevankatu 31;04230;Kerava;Kerava;13.10.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kampin keskus;Urho Kekkosen katu 1;00100;Helsinki;Helsinki;11.12.2014;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kamppi;Salomonkatu 19;00100;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kannelmäki;Vanhaistentie 1 A;00420;Helsinki;Helsinki;28.03.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kannisto;Kannistonkatu 2;04200;Kerava;Kerava;27.01.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kartanonkoski;Hagelstamintie 32;01520;Vantaa;Vantaa;15.11.2012;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Katajanokka;Merisotilaantori 1;00160;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kauklahti;Kuninkaankartanontie 11;02780;Espoo;Helsinki;07.10.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Keilaniemi;Keilaniementie 1;02150;Espoo;Espoo;05.03.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kellokoski;Vanha Valtatie 191;04500;Kellokoski;Tuusula;10.04.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kerava;Lintulammenkatu 2 A;04200;Kerava;Kerava;31.10.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kilo;Kilonkuja 3 A;02610;Espoo;Espoo;12.12.2014;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kisahalli;Mannerheimintie 76;00250;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kivenlahti;Merivirta 5;02320;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kivistö ;Kannistontie 1;01700;Vantaa;Vantaa;03.11.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kivistön asema;Keimolantie 12;01700;Vantaa;Vantaa;15.12.2022;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kruununhaka;Kirkkokatu 2;00170;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kruunuvuorenranta;Henri Borgströmin tie 2;00840;Helsinki;Helsinki;19.09.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kulosaari;Kyösti Kallion tie 2;00570;Helsinki;Helsinki;21.06.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kuparitalo;Töölönkatu 4;00100;Helsinki;Helsinki;05.08.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kuusitie;Mannerheimintie 152;00270;Helsinki;Helsinki;07.04.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Käpylä;Koskelantie 19;00610;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Laajalahti;Kirvuntie 22;02140;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lahela;Lahelanorsi 2;04330;Lahela;Tuusula;06.05.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lehtisaari;Lehtisaarentie 2;00340;Helsinki;Helsinki;22.10.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Leinelä;Primavera 4;01340;Vantaa;Vantaa;07.09.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lentoasema;Hki-Vantaan lentoasema, T2 saa;01530;Vantaa;Vantaa;01.12.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Liisankatu;Liisankatu 14;00170;Helsinki;Helsinki;10.11.2011;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lintuvaara;Linnuntie 2;02660;Espoo;Espoo;01.10.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Länsimäki;Kilpakuja 1;01280;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Malmin Nova;Malminkaari 13-19;00700;Helsinki;Helsinki;10.09.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Malminkartano;Puustellinkuja 2;00410;Helsinki;Helsinki;04.12.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mankkaa;Mankkaanaukio 2;02180;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mannerheimintie;Mannerheimintie 102;00250;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Martinlaakso;Laajaniityntie 2;01620;Vantaa;Vantaa;12.04.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Matinkylä;Matinkatu 22;02230;Espoo;Espoo;28.01.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Maunula;Metsäpurontie 23;00630;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mechelininkatu;Mechelininkatu 5;00100;Helsinki;Helsinki;12.06.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mellunmäki;Mellunmäentie 12;00970;Helsinki;Helsinki;14.02.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Metsolantie;Metsolantie 1;04200;Kerava;Kerava;02.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mikkola;Venuksentie 4;01480;Vantaa;Vantaa;04.02.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Munkkiniemi;Solnantie 35;00330;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Nissas;Nissaksentie 1;01200;Vantaa;Vantaa;06.04.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Otaniemi;Otaniementie 12;02150;Espoo;Espoo;30.08.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pajamäki;Pajamäentie 14;00360;Helsinki;Helsinki;14.01.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Paloheinä;Pakilantie 95;00670;Helsinki;Helsinki;15.11.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pellonkulma;Laurilantie 35;04430;Järvenpää;Järvenpää;03.01.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Peltokuumolantie;Peltokuumolantie 2;05800;Hyvinkää;Hyvinkää;07.12.2005;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Perämiehenkatu;Perämiehenkatu 10;00150;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pietarinkatu;Pietarinkatu 12;00140;Helsinki;Helsinki;19.05.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pihlajisto;Salpausseläntie 11;00710;Helsinki;Helsinki;29.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pikku-Huopalahti;Mannerheimintie 170;00300;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pohjois-Haaga;Näyttelijäntie 14;00400;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Porttipuisto;Tatti 17;01380;Vantaa;Vantaa;11.03.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Postipuisto;Rullakkokatu 1;00240;Helsinki;Helsinki;09.09.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Puistola;Puistolanraitti 11;00760;Helsinki;Helsinki;30.05.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pukinmäki;Säterintie 2;00720;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Päiväkumpu;Laurintie 84;01420;Vantaa;Vantaa;26.05.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Riihikallio;Haukantie 2;04320;Tuusula;Tuusula;13.09.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Runeberginkatu;Runeberginkatu 58;00260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ruoholahdenkatu;Ruoholahdenkatu 23;00180;Helsinki;Helsinki;18.10.2012;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ruskeasuo;Kiskontie 1;00280;Helsinki;Helsinki;02.10.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Sello;Leppävaarankatu 3-9;02600;Espoo;Espoo;31.01.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Siltamäki;Jalopeurantie 4;00740;Helsinki;Helsinki;10.09.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Sitratori;Sitratie 7;00420;Helsinki;Helsinki;05.04.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Suvela;Sokinsuontie 4;02760;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tapaninkylä;Kotinummentie 68;00730;Helsinki;Helsinki;09.06.2011;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tapulikaupunki;Palokuja 4;00750;Helsinki;Helsinki;04.02.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Teerisuontie;Teerisuontie 27;00700;Helsinki;Helsinki;14.05.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tripla;Pasilan asema-aukio 1;00520;Helsinki;Helsinki;17.10.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tuomarila;Pitkännotkontie 27;02750;Espoo;Espoo;03.03.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tuomarinkylä;Ohrahuhdantie 8;00680;Helsinki;Helsinki;01.11.2005;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Töölöntori;Töölöntorinkatu 6;00260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ullanlinna;Vuorimiehenkatu 29;00140;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Verkkosaari;Capellanranta 2;00580;Helsinki;Helsinki;03.06.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Veräjämäki;Larin Kyöstin tie 10;00650;Helsinki;Helsinki;02.02.2023;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viertola;Osmankäämintie 7;01300;Vantaa;Vantaa;12.01.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Vihdintie;Vihdintie 7;00320;Helsinki;Helsinki;16.06.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viherlaakso;Kuusiniementie 1;02710;Espoo;Espoo;23.05.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viherniemenkatu;Viherniemenkatu 9;00530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viikinmäki;Hernepellontie 20;00710;Helsinki;Helsinki;11.10.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viiskulma;Pursimiehenkatu 4-6;00150;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Vuosaaren Satama;Rahtarinkatu 2;00980;Helsinki;Helsinki;03.03.2010;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Vuosaari;Ulappasaarentie 2;00980;Helsinki;Helsinki;06.09.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Wallininkuja;Wallininkuja 7;00530;Helsinki;Helsinki;10.03.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Westend;Westendintie 99E;02160;Espoo;Espoo;19.01.2023;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ymmersta;Ullanmäentie 12;02750;Espoo;Helsinki;24.06.2021;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepub Telakka;Eerikinkatu 6 b;20100;Turku;Turku;30.04.2017;Anniskelu A, kaikki alkoholijuomat;1952494-7
Alexander Grill House;Pormestarinkatu 14 lt 3;06100;Porvoo;Porvoo;01.12.2021;Anniskelu A, kaikki alkoholijuomat;3236044-9
Alexin Hovi Oy;Aleksanterinkuja 2;65100;Vaasa;Vaasa;17.04.2019;Anniskelulupa ilman toimipaikkaa;2637329-4
Alfons Pizza;Laivurinkatu 37;00150;Helsinki;Helsinki;04.12.2014;Anniskelu A, kaikki alkoholijuomat;2641435-9
Alfred Kitchen & Bar;Pakkahuoneenkatu 24;90100;Oulu;Oulu;07.09.2023;Anniskelu A, kaikki alkoholijuomat;3327972-2
