NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
TB-Pirttilä/Elintarvikemyyntip;Hämeensaarentie 6;13100;Hämeenlinna;Hämeenlinna;08.01.1996;Vähittäismyyntilupa/max. 5.5 %;0863634-5
TB-Siilinhovi;Itkolantie 1;70910;Vuorela;Siilinjärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2281857-5
TB-Siilinhovi;Itkolantie 1;70910;Vuorela;Siilinjärvi;01.10.2009;Vähittäismyyntilupa/max. 5.5 %;2281857-5
TB-huoltamon elintarvikemyymälä;Teollisuustie 1;51200;Kangasniemi;Kangasniemi;24.03.1997;Vähittäismyyntilupa/max. 5.5 %;0164678-6
TB-jakelu Koillistie;Kuusamontie 10;93400;Taivalkoski;Taivalkoski;13.07.1995;Vähittäismyyntilupa/max. 5.5 %;1090414-2
TEBOIL MALMI;Laulurastaantie 2;00780;Helsinki;Helsinki;16.07.2010;Vähittäismyyntilupa/max. 5.5 %;2315347-2
TEHDAS Teatteri;Itäinen Rantakatu 64;20810;Turku;Turku;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1744909-0
TENHO;Helsinginkatu 15 LH 7;00500;Helsinki;Helsinki;14.06.2015;Anniskelu A, kaikki alkoholijuomat;2686433-3
TGM;Lentoasemantie 1 (T2);01530;Vantaa;Vantaa;01.05.2022;Anniskelu A, kaikki alkoholijuomat;2923995-5
THAI WOK;Kauppakuja 3 A;04130;Sipoo;Sipoo;27.05.2022;Anniskelu A, kaikki alkoholijuomat;3283265-3
TIHC-jäähalli;Viidankatu 18;95420;Tornio;Tornio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0608975-5
TORANDA Events;Näätsaarentie 244;95450;Tornio;Tornio;22.11.2013;Anniskelu A, kaikki alkoholijuomat;2083608-3
TPS Salibandy ry;Kärsämäentie 35;20360;Turku;Turku;06.11.2018;Anniskelulupa ilman toimipaikkaa;1487409-1
TRIB3 Helsinki;Runeberginkatu 44;00260;Helsinki;Helsinki;11.06.2020;Anniskelu A, kaikki alkoholijuomat;3092782-7
TTT-Klubi;Hallituskatu 19;33200;Tampere;Tampere;24.09.2011;Anniskelu A, kaikki alkoholijuomat;1009332-7
TTT-Teatteripalvelut;Hämeenpuisto 28-32;33200;Tampere;Tampere;16.04.1985;Anniskelu A, kaikki alkoholijuomat;1009332-7
TTY Tietotalo (/Sodexo);Korkeakoulunkatu 1;33720;Tampere;Tampere;25.09.2015;Anniskelu A, kaikki alkoholijuomat;0907890-4
Taaborinvuori;Palojoki;01940;Palojoki;Nurmijärvi;18.06.1999;Anniskelu A, kaikki alkoholijuomat;1084560-5
Taalintehdas ST1;Rantatie 1;25900;Taalintehdas;Kemiönsaari;06.05.2019;Anniskelu A, kaikki alkoholijuomat;2798588-2
Taalintehdas ST1;Rantatie 1;25900;Taalintehdas;Kemiönsaari;24.05.2018;Vähittäismyyntilupa/max. 5.5 %;2798588-2
Taattisten tila;Koverintie 23;21160;Merimasku;Naantali;01.05.2023;Ann.lupa sis. vähittäismyynnin;3180008-6
Tabasco Pizzeria Kebab;Otto Mannisentie 8;51200;Kangasniemi;Kangasniemi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2690616-9
